from,to,sep20,sep21,sep22,sep23,sep24,sep25,sep26,sep27,total_a
S01,S03,0,1,0,1,1,1,1,0,5
S01,S06,0,0,2,1,1,3,0,1,8
S01,S07,0,0,0,2,1,2,0,0,5
S01,S09,0,0,2,0,1,0,0,1,4
S01,S13,0,0,0,1,0,3,0,2,6
S01,S27,1,2,0,2,1,0,1,0,7
S02,S03,0,3,0,0,3,0,0,0,6
S02,S05,0,0,1,0,1,0,3,3,8
S02,S14,0,2,2,1,0,0,0,3,8
S02,S24,2,2,0,0,1,1,0,0,6
S03,S08,3,2,1,0,1,0,0,0,7
S03,S10,0,2,0,1,0,1,2,2,8
S04,S01,1,1,1,2,0,0,1,0,6
S04,S02,0,1,1,0,1,2,0,0,5
S04,S03,1,2,0,0,1,0,0,0,4
S04,S09,2,0,1,1,2,2,0,1,9
S04,S10,2,0,3,0,1,1,2,1,10
S04,S15,1,1,2,2,0,0,1,0,7
S04,S24,0,1,1,0,0,1,1,1,5
S04,S30,3,2,2,0,3,2,0,0,12
S05,S03,3,1,1,1,0,1,1,0,8
S05,S09,0,0,0,0,1,1,1,0,3
S05,S10,0,2,0,1,1,1,3,0,8
S06,S01,1,2,1,1,1,0,2,1,9
S06,S07,0,0,0,2,1,1,1,1,6
S06,S08,1,1,0,1,3,2,0,3,11
S06,S17,3,2,0,2,0,2,0,1,10
S06,S20,1,0,1,0,0,0,0,1,3
S07,S01,0,3,1,2,0,1,0,0,7
S07,S02,1,0,1,1,0,0,0,0,3
S07,S05,1,0,1,1,0,0,0,1,4
S07,S06,1,3,2,0,0,2,1,1,10
S07,S13,0,0,3,1,0,0,1,2,7
S08,S04,2,1,3,1,1,1,1,0,10
S08,S10,0,0,1,1,2,3,1,1,9
S08,S15,1,3,1,0,2,0,0,2,9
S08,S19,0,1,0,2,1,2,3,1,10
S10,S01,0,1,0,0,1,2,3,1,8
S10,S03,1,2,1,1,0,0,1,2,8
S10,S08,1,0,1,2,2,3,0,2,11
S11,S01,0,0,0,0,0,0,0,2,2
S11,S05,1,0,0,0,2,2,0,2,7
S11,S19,0,0,1,1,2,1,1,1,7
S12,S06,1,1,2,0,0,0,1,0,5
S12,S15,0,1,0,1,0,2,0,1,5
S12,S16,1,2,2,2,2,0,2,0,11
S13,S11,1,0,1,2,1,0,0,0,5
S13,S15,1,2,0,0,2,1,1,0,7
S13,S16,2,2,0,1,2,1,3,0,11
S13,S19,0,0,0,2,1,2,1,0,6
S13,S20,0,2,0,1,0,0,0,1,4
S14,S05,1,2,1,0,0,0,2,1,7
S14,S13,2,2,2,0,2,3,1,1,13
S14,S19,0,1,0,0,0,1,2,1,5
S14,S20,2,1,1,2,1,0,0,1,8
S14,S23,1,1,1,0,2,0,1,0,6
S15,S12,1,3,0,1,3,0,1,2,11
S15,S13,0,1,2,3,1,0,2,0,9
S15,S19,1,1,2,0,1,0,3,0,8
S16,S01,2,2,2,0,1,1,1,1,10
S16,S08,0,1,0,1,0,1,1,1,5
S16,S13,0,2,2,2,2,1,3,2,14
S16,S19,1,1,0,0,2,1,3,2,10
S16,S20,1,0,2,0,3,0,1,0,7
S17,S12,3,0,1,1,0,0,2,1,8
S17,S14,0,1,1,1,0,2,2,1,8
S17,S15,1,1,1,1,1,0,2,2,9
S17,S19,0,1,3,0,1,1,1,1,8
S18,S12,0,2,1,0,0,2,3,0,8
S18,S13,0,2,2,0,0,0,2,2,8
S18,S16,0,2,0,0,0,0,2,1,5
S18,S19,1,0,3,2,1,1,1,0,9
S18,S26,3,0,2,0,1,1,0,0,7
S18,S28,0,2,0,1,0,1,0,0,4
S19,S11,1,0,0,1,1,0,1,2,6
S19,S15,1,1,0,1,2,2,1,0,8
S19,S18,1,0,1,0,0,0,0,0,2
S19,S27,1,0,0,3,1,3,1,0,9
S20,S12,0,1,1,2,2,1,2,0,9
S20,S19,0,2,2,0,0,0,2,1,7
S21,S13,2,0,1,0,1,3,0,2,9
S21,S15,1,0,1,0,0,0,1,0,3
S21,S22,1,0,0,0,1,1,0,1,4
S21,S23,1,2,0,1,2,0,2,0,8
S21,S24,2,2,0,1,0,0,0,2,7
S21,S30,1,0,0,0,2,3,3,1,10
S22,S24,1,0,0,0,1,3,0,1,6
S22,S26,1,0,0,2,2,0,1,0,6
S22,S30,2,1,0,2,1,0,0,1,7
S23,S29,0,2,1,0,1,0,0,0,4
S24,S06,0,1,0,0,0,0,1,1,3
S24,S07,2,0,0,1,0,0,1,1,5
S25,S23,1,3,1,0,3,0,1,0,9
S25,S28,1,0,0,2,1,0,1,1,6
S25,S29,0,0,0,2,2,0,0,2,6
S25,S30,0,2,1,1,2,2,1,2,11
S26,S23,1,0,1,1,0,0,3,2,8
S27,S17,2,1,1,0,1,1,0,0,6
S27,S21,0,1,0,0,0,2,2,0,5
S27,S24,0,0,2,0,1,0,1,1,5
S27,S26,1,0,0,0,2,0,0,2,5
S27,S28,2,2,1,2,1,2,3,1,14
S28,S09,2,1,1,1,2,1,1,0,9
S28,S15,1,1,0,1,0,1,0,1,5
S28,S21,1,1,0,0,2,0,1,1,6
S28,S24,1,1,3,1,2,1,3,0,12
S29,S03,1,3,0,1,1,1,2,2,11
S29,S19,3,2,2,0,1,0,2,0,10
S29,S25,1,0,1,0,1,1,0,2,6
S29,S26,2,0,1,1,0,0,1,0,5
S30,S18,0,0,1,2,0,1,0,1,5
S30,S21,2,1,0,1,0,0,1,1,6
S30,S24,3,0,1,0,1,1,1,0,7
S30,S25,0,0,1,3,0,0,1,0,5
S30,S28,2,1,2,1,0,1,2,2,11
S01,0,0,0,0,0,0,0,0,0,0
S02,S106,1,0,0,0,0,0,0,0,1
S03,S107,1,1,0,0,0,0,0,0,2
