from,to,sep20,sep21,sep22,sep23,sep24,sep25,sep26,sep27,total_non
S01,S02,0,1,0,0,0,2,0,0,3
S01,S04,0,1,1,1,0,1,0,1,5
S01,S06,0,0,2,0,1,3,0,3,9
S01,S07,1,1,1,0,1,2,0,2,8
S01,S08,0,0,1,0,1,0,0,0,2
S01,S09,1,1,1,0,2,0,1,1,7
S02,S07,1,1,0,1,2,1,0,1,7
S03,S05,1,1,1,2,0,1,2,0,8
S03,S06,1,0,0,0,1,1,2,0,5
S03,S09,1,0,2,0,2,0,3,1,9
S04,S09,1,1,0,0,1,2,3,1,9
S04,S27,1,1,0,1,0,0,0,0,3
S05,S17,2,1,2,3,1,2,0,1,12
S06,S04,1,0,0,2,0,2,0,1,6
S06,S09,1,2,0,1,1,0,1,1,7
S06,S10,1,0,0,1,0,2,0,0,4
S07,S06,0,1,2,1,0,0,2,1,7
S07,S09,2,0,0,1,1,1,1,0,6
S07,S12,0,0,1,3,3,1,0,2,10
S08,S05,2,2,0,0,0,0,0,0,4
S08,S07,1,2,0,1,0,2,1,0,7
S08,S15,2,2,2,1,0,0,0,0,7
S09,S01,2,0,0,1,0,0,2,2,7
S09,S23,1,1,0,0,0,0,1,1,4
S09,S26,0,0,0,2,3,1,0,2,8
S10,S04,2,2,0,2,1,2,1,3,13
S10,S06,1,3,0,1,0,0,1,2,8
S10,S11,1,0,0,1,1,1,1,2,7
S10,S17,0,0,0,0,1,1,0,1,3
S10,S23,1,0,0,0,1,1,0,3,6
S11,S15,2,1,0,2,0,1,2,1,9
S11,S19,2,0,1,3,1,2,1,2,12
S11,S20,1,1,1,3,0,1,1,0,8
S12,S18,2,2,0,1,2,1,1,3,12
S12,S20,0,0,0,1,1,1,2,0,5
S13,S07,1,1,0,1,2,1,3,3,12
S13,S16,2,1,0,1,3,0,1,1,9
S14,S06,2,2,0,0,0,1,1,1,7
S14,S11,1,0,1,0,0,1,0,0,3
S14,S15,1,1,1,0,1,1,0,1,6
S14,S18,0,0,2,1,1,0,1,0,5
S14,S19,1,1,0,2,1,3,0,1,9
S14,S26,2,2,0,0,0,1,1,0,6
S15,S05,0,3,1,2,0,2,0,0,8
S15,S10,1,1,1,0,2,1,0,0,6
S15,S13,2,1,3,1,1,2,1,2,13
S15,S24,2,0,0,0,1,1,1,1,6
S15,S26,1,1,0,3,1,1,0,1,8
S16,S07,0,0,0,1,0,0,0,1,2
S16,S19,2,2,0,0,1,0,0,0,5
S17,S12,2,1,3,3,0,0,1,1,11
S17,S14,2,2,1,0,1,1,0,1,8
S18,S28,0,2,0,2,2,1,2,2,11
S19,S12,2,0,0,1,0,2,0,0,5
S19,S13,1,1,1,2,1,1,2,1,10
S19,S18,1,2,2,3,0,2,0,0,10
S19,S20,0,0,2,1,2,0,0,0,5
S20,S09,1,1,2,2,1,1,0,0,8
S20,S16,0,0,2,1,2,0,1,1,7
S20,S19,1,1,1,0,1,0,0,3,7
S21,S28,0,2,1,1,0,0,1,0,5
S22,S21,3,2,0,0,3,2,1,3,14
S22,S23,0,0,0,0,2,1,1,1,5
S22,S27,0,0,0,1,3,1,0,0,5
S23,S07,2,1,0,0,1,0,2,1,7
S23,S21,0,0,1,1,0,0,1,0,3
S23,S29,2,0,1,3,0,1,0,2,9
S24,S28,2,0,0,1,2,0,2,0,7
S24,S30,3,0,0,2,0,0,0,3,8
S25,S07,0,2,1,0,1,0,0,3,7
S26,S21,0,3,1,1,3,1,0,2,11
S26,S24,0,1,0,0,1,0,2,1,5
S26,S28,0,0,1,2,2,2,2,1,10
S26,S30,0,2,1,0,0,0,1,0,4
S27,S13,1,2,0,2,1,1,1,0,8
S27,S21,2,2,1,1,1,0,0,2,9
S27,S26,0,0,1,0,0,2,1,1,5
S28,S27,1,0,0,1,1,0,1,0,4
S29,S21,1,3,0,0,0,0,0,0,4
S29,S22,1,1,1,0,1,1,2,0,7
S29,S24,0,1,2,2,1,0,1,2,9
S30,S19,0,3,0,3,0,0,2,1,9
S30,S23,0,0,0,1,1,0,2,0,4
S30,S25,2,0,0,2,0,1,1,2,8
S04,0,0,0,0,0,0,0,0,0,0
S05,S106,1,0,0,0,0,0,0,0,1
