id,class,class_method,sex,specialization,prior_major,peer_support_frequency,peer_support_type
S01,A,offline,Female,Educational,Non-psychology,3,assignment discussion
S02,A,offline,Female,Developmental,Psychology,3,material sharing
S03,A,offline,Female,Educational,Psychology,5,concept explanation
S04,A,offline,Female,Industrial-Organizational,Non-psychology,5,emotional support
S05,A,offline,Female,Personality,Psychology,1,concept explanation
S06,A,offline,Female,Industrial-Organizational,Psychology,1,emotional support
S07,A,offline,Male,Social,Psychology,2,concept explanation
S08,A,offline,Male,Industrial-Organizational,Psychology,5,concept explanation
S09,A,offline,Male,Educational,Psychology,3,material sharing
S10,A,offline,Male,Developmental,Psychology,5,concept explanation
S11,B,hybrid,Female,Industrial-Organizational,Psychology,2,material sharing
S12,B,hybrid,Female,Developmental,Non-psychology,1,concept explanation
S13,B,hybrid,Female,Developmental,Psychology,4,assignment discussion
S14,B,hybrid,Male,Social,Non-psychology,1,emotional support
S15,B,hybrid,Female,Developmental,Non-psychology,3,concept explanation
S16,B,hybrid,Female,Personality,Psychology,1,material sharing
S17,B,hybrid,Female,Educational,Psychology,4,concept explanation
S18,B,hybrid,Female,Industrial-Organizational,Psychology,5,concept explanation
S19,B,hybrid,Female,Social,Non-psychology,3,concept explanation
S20,B,hybrid,Male,Developmental,Psychology,5,material sharing
S21,C,online,Female,Personality,Psychology,4,concept explanation
S22,C,online,Female,Personality,Non-psychology,3,emotional support
S23,C,online,Female,Social,Non-psychology,4,concept explanation
S24,C,online,Female,Developmental,Psychology,3,assignment discussion
S25,C,online,Female,Developmental,Psychology,5,concept explanation
S26,C,online,Female,Educational,Psychology,1,material sharing
S27,C,online,Female,Educational,Psychology,5,concept explanation
S28,C,online,Female,Developmental,Psychology,5,assignment discussion
S29,C,online,Female,Developmental,Psychology,1,assignment discussion
S30,C,online,Male,Educational,Non-psychology,5,material sharing
